Description for the data in the LakeTemperatureAllLoopVariables.txt
1. The first column contains the name of variables that are used by the LakeTemperature.
2. The top row displays various sections (divided by "|") that illustrate the sequence of execution:
lakeTemperature(main) -> its subroutine->return to main -> its subroutine -> main
3. Every column within code section (divided by "|") represents a "do loop" (Fortran) segment.
The value of each table element indicates the usage of a variable in that "do loop", the value could be "ro, wo, ro, -". ro: read-only, wo: write-only, rw: read-write, -: not in use"


                             |LakeTemperature                |soilthermprop_ |LakeTemperature                    |phasechange_lake           |LakeTemperature            |soilthermprop_ |LakeTemperature    
phi                          -   -   -   -   -   -   wo  -   |-  -   -   -   |-  -   -   ro  -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |ro -   -   -   -   
cv_lake                      -   -   -   -   -   -   -   wo  |-  -   -   -   |ro -   -   ro  -   -   -   -   -   |-  -   ro  rw  -   -   -   |-  -   -   -   -   -   wo  |-  -   -   -   |ro -   -   -   -   
cice_eff                     -   -   -   -   -   -   -   ro  |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   ro  -   ro  -   ro  |-  -   -   -   |-  -   -   -   -   
satw                         -   -   -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   
log10                        -   -   -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   
dke                          -   -   -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   
tksatu                       -   -   -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   
dksat                        -   -   -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   
tkmg                         -   -   -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   
watsat                       -   -   -   -   -   -   -   -   |ro -   ro  -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |ro -   ro  -   |-  -   -   -   -   
thk                          -   -   -   -   -   -   -   -   |rw ro  -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |rw ro  -   -   |-  -   -   -   -   
tkdry                        -   -   -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |ro -   -   -   |-  -   -   -   -   
dz                           -   -   -   -   -   -   -   -   |ro -   ro  -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  ro  -   -   -   ro  -   |ro -   ro  -   |-  -   -   -   -   
xicevol                      -   -   -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   
bw                           -   -   -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |rw -   -   -   |-  -   -   -   -   
tk                           -   -   -   -   -   -   -   -   |-  wo  -   -   |-  -   -   -   ro  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  wo  -   -   |-  -   -   -   -   
z                            -   -   -   -   -   -   -   -   |-  ro  -   -   |-  -   -   ro  ro  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  ro  -   -   |-  -   -   -   -   
zi                           -   -   -   -   -   -   -   -   |-  ro  -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  ro  -   -   |-  -   -   -   -   
cv                           -   -   -   -   -   -   -   -   |-  -   wo  wo  |-  ro  -   ro  -   -   -   -   -   |-  -   -   -   rw  -   -   |-  -   -   -   -   -   -   |-  -   wo  wo  |-  ro  -   -   -   
csol                         -   -   -   -   -   -   -   -   |-  -   ro  -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   ro  -   |-  -   -   -   -   
temp                         -   -   -   -   -   -   -   -   |-  -   -   -   |rw rw  -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   rw  -   |-  -   -   -   |-  rw  -   -   -   
cfus                         -   -   -   -   -   -   -   -   |-  -   -   -   |ro -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |ro -   -   -   -   
t_soisno                     -   -   -   -   -   -   -   -   |-  -   -   -   |-  ro  -   ro  -   -   -   -   wo  |-  -   -   -   rw  -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  ro  -   -   -   
h2osno                       -   -   -   -   -   -   -   -   |-  -   -   -   |-  ro  -   -   -   -   -   -   -   |-  -   rw  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  ro  -   -   -   
sabg_lyr_col                 -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   wo  ro  -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
jprime                       -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   rw  rw  -   -   -   wo  |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
zx                           -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   rw  ro  ro  ro  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
